scenario,rep,phase,consensus,batch,tps,orderer_count,round_label,container,cpu_avg,cpu_max,mem_avg_mb,mem_max_mb,traffic_in_mb,traffic_out_mb,disc_read_b,disc_write_mb,SourceFile,SourceFolder,role
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,2.27,4.38,71.5,72.3,18.8,20.5,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/peer0.org2.example.com,4.91,7.31,296.0,314.0,126.0,107.0,0.0,41.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/peer0.org1.example.com,0.33,2.25,278.0,292.0,46.5,7.35,0.0,41.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer9.example.com,0.15,0.4,178.0,189.0,40.5,4.05,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer2.example.com,0.14,0.3,174.0,183.0,40.6,4.06,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer10.example.com,0.14,0.3,183.0,191.0,40.8,4.33,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer.example.com,0.17,0.3,186.0,199.0,40.8,40.8,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer8.example.com,0.2,0.32,180.0,188.0,40.7,4.28,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer3.example.com,0.17,0.29,184.0,195.0,40.6,4.2,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer4.example.com,0.21,0.39,179.0,196.0,40.8,4.32,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer5.example.com,0.18,0.33,178.0,185.0,40.3,3.87,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/couchdb1,2.54,8.06,58.3,63.2,8.25,8.96,0.0,16.7,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer7.example.com,0.39,0.57,212.0,234.0,39.2,367.0,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/orderer6.example.com,0.18,0.46,189.0,197.0,40.6,4.15,0.0,75.4,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/couchdb0,0.91,6.88,58.7,60.3,7.17,9.87,0.0,16.7,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_org2,0.0,0.0,9.44,10.6,0.00036,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_orderer,0.0,0.0,8.46,8.55,0.000427,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,/ca_org1,0.0,0.0,9.58,10.8,0.00036,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,2,RETRIEVE,Raft,100,100,10,retrieveEvidenceAndLog,ORDERERS_AGG,0.193,0.366,184.3,195.7,404.9,441.06,,754.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderers_agg
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/dev-peer0.org2.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,0.0,0.0,50.5,50.5,0.00553,0.00452,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/dev-peer0.org1.example.com-forensicContract_1.0-9176218e88396841943270b3841b38bec7d2ec350c25128904c5162f8c96fcce,2.36,4.34,72.4,74.3,31.3,23.2,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,chaincode
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/peer0.org1.example.com,5.78,9.4,260.0,335.0,155.0,146.0,0.0,49.3,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/peer0.org2.example.com,0.93,3.55,230.0,288.0,50.9,12.9,0.0,49.3,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,peer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer9.example.com,0.2,0.47,133.0,193.0,51.7,5.48,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/couchdb1,2.84,8.86,73.0,79.9,12.7,4.55,0.0,20.8,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer4.example.com,0.22,0.65,140.0,188.0,51.8,51.6,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer2.example.com,0.17,0.43,137.0,192.0,51.4,5.26,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer8.example.com,0.18,0.55,140.0,193.0,51.3,5.05,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/couchdb0,4.82,11.96,72.6,79.6,14.7,6.62,0.0,20.8,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,couchdb
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer5.example.com,0.21,0.76,139.0,194.0,51.4,51.4,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer3.example.com,0.18,0.48,133.0,181.0,51.3,5.09,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer10.example.com,0.2,0.53,135.0,180.0,51.5,5.33,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer6.example.com,0.16,0.49,138.0,199.0,51.0,4.78,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer7.example.com,0.48,1.46,174.0,256.0,49.0,419.0,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/orderer.example.com,0.17,0.56,135.0,195.0,51.2,5.05,0.0,97.2,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,orderer
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/ca_org2,0.0,0.0,10.7,10.7,0.000841,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/ca_org1,0.0,0.0,10.4,10.4,0.000908,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
Raft_b100_tps100_ord10,3,SUBMIT,Raft,100,100,10,submitEvidence,/ca_orderer,0.0,0.0,8.92,10.4,0.000841,0.0,0.0,0.0,Raft_b100_tps100_ord10_resource_metrics.csv,Raft_b100_tps100_ord10,ca
