consensus,batch,tps,orderer_count,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,1.725,15.42,18.83,33.4,60,2.056,2.5106666666666664
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,2,orderer,10,0.193,404.9,441.05999999999995,754.0,60,53.986666666666665,58.80799999999999
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,2.62,172.5,114.35,82.4,60,23.0,15.246666666666666
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.001147,0.0,0.0,60,0.00015293333333333333,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,0.99,18.904729999999997,20.50443,0.0,60,2.5206306666666665,2.733924
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,4.25,15.45,18.84,33.4,60,2.06,2.512
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,3,orderer,10,0.246,404.5,440.38,755.0,60,53.93333333333333,58.717333333333336
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,3.27,172.5,114.38,82.4,60,23.0,15.250666666666666
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.0,0.0,0.0,60,0.0,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,4,chaincode,2,0.975,18.80433,20.50433,0.0,60,2.507244,2.7339106666666666
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,4,couchdb,2,4.585,15.469999999999999,18.84,33.4,60,2.0626666666666664,2.512
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,4,orderer,10,0.196,404.7,440.49,754.9,60,53.96,58.732
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,4,peer,2,3.14,172.5,114.38,82.4,60,23.0,15.250666666666666
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,5,ca,3,0.0,0.00108,0.0,0.0,60,0.000144,0.0
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,5,chaincode,2,0.985,18.80467,20.50437,0.0,60,2.5072893333333335,2.7339160000000002
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,5,couchdb,2,3.9299999999999997,15.46,18.83,33.2,60,2.0613333333333332,2.5106666666666664
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,5,orderer,10,0.254,404.9,440.68,767.0,60,53.986666666666665,58.757333333333335
Raft,100,100,10,retrieveEvidenceAndLog,RETRIEVE,5,peer,2,3.465,172.5,114.39,82.4,60,23.0,15.252
Raft,100,100,10,submitEvidence,SUBMIT,1,ca,3,0.0,0.0,0.0,0.0,60,0.0,0.0
Raft,100,100,10,submitEvidence,SUBMIT,1,chaincode,2,1.11,31.30477,23.20453,0.0,60,4.173969333333334,3.0939373333333333
Raft,100,100,10,submitEvidence,SUBMIT,1,couchdb,2,3.42,27.4,11.17,41.6,60,3.6533333333333333,1.4893333333333334
Raft,100,100,10,submitEvidence,SUBMIT,1,orderer,10,0.209,511.8,557.1700000000001,971.0,60,68.24,74.28933333333335
Raft,100,100,10,submitEvidence,SUBMIT,1,peer,2,2.605,205.9,158.9,98.6,60,27.453333333333333,21.186666666666667
Raft,100,100,10,submitEvidence,SUBMIT,2,ca,3,0.0,0.00259,0.0,0.0,60,0.0003453333333333333,0.0
Raft,100,100,10,submitEvidence,SUBMIT,2,chaincode,2,1.125,31.40542,23.20441,0.0,60,4.187389333333333,3.0939213333333333
Raft,100,100,10,submitEvidence,SUBMIT,2,couchdb,2,3.085,27.4,11.16,41.6,60,3.6533333333333333,1.488
Raft,100,100,10,submitEvidence,SUBMIT,2,orderer,10,0.233,511.7,557.85,972.0,60,68.22666666666666,74.38000000000001
Raft,100,100,10,submitEvidence,SUBMIT,2,peer,2,2.84,206.0,158.9,98.6,60,27.466666666666665,21.186666666666667
Raft,100,100,10,submitEvidence,SUBMIT,3,ca,3,0.0,0.00259,0.0,0.0,60,0.0003453333333333333,0.0
Raft,100,100,10,submitEvidence,SUBMIT,3,chaincode,2,1.18,31.30553,23.20452,0.0,60,4.174070666666667,3.093936
Raft,100,100,10,submitEvidence,SUBMIT,3,couchdb,2,3.83,27.4,11.17,41.6,60,3.6533333333333333,1.4893333333333334
Raft,100,100,10,submitEvidence,SUBMIT,3,orderer,10,0.217,511.6,558.04,972.0,60,68.21333333333334,74.40533333333333
Raft,100,100,10,submitEvidence,SUBMIT,3,peer,2,3.355,205.9,158.9,98.6,60,27.453333333333333,21.186666666666667
Raft,100,100,10,submitEvidence,SUBMIT,4,ca,3,0.0,0.0,0.0,0.0,60,0.0,0.0
Raft,100,100,10,submitEvidence,SUBMIT,4,chaincode,2,1.22,31.30462,23.204449999999998,0.0,60,4.173949333333334,3.0939266666666665
Raft,100,100,10,submitEvidence,SUBMIT,4,couchdb,2,4.109999999999999,27.5,11.17,41.6,60,3.6666666666666665,1.4893333333333334
Raft,100,100,10,submitEvidence,SUBMIT,4,orderer,10,0.264,511.8,558.21,972.0,60,68.24,74.42800000000001
Raft,100,100,10,submitEvidence,SUBMIT,4,peer,2,3.2699999999999996,206.0,158.0,98.6,60,27.466666666666665,21.066666666666666
Raft,100,100,10,submitEvidence,SUBMIT,5,ca,3,0.0,0.0007869999999999999,0.0,0.0,60,0.00010493333333333333,0.0
Raft,100,100,10,submitEvidence,SUBMIT,5,chaincode,2,1.075,31.30509,23.10461,0.0,60,4.174012,3.080614666666667
Raft,100,100,10,submitEvidence,SUBMIT,5,couchdb,2,4.8149999999999995,27.5,11.17,41.6,60,3.6666666666666665,1.4893333333333334
Raft,100,100,10,submitEvidence,SUBMIT,5,orderer,10,0.264,512.0,558.1999999999999,972.0,60,68.26666666666667,74.42666666666666
Raft,100,100,10,submitEvidence,SUBMIT,5,peer,2,3.4000000000000004,206.1,158.9,98.6,60,27.48,21.186666666666667
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,ca,3,0.0,0.001203,0.0,0.0,60,0.00016040000000000002,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,1.09,18.70421,20.5038,0.0,60,2.493894666666667,2.73384
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,4.15,15.440000000000001,18.82,32.8,60,2.058666666666667,2.509333333333333
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,2.6075,283.8,210.84,292.0,60,37.84,28.112000000000002
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,3.6100000000000003,176.5,227.41,82.4,60,23.533333333333335,30.32133333333333
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.0014429999999999998,0.0,0.0,60,0.0001924,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,1.2,18.70422,20.50374,0.0,60,2.493896,2.733832
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,3.67,15.440000000000001,18.83,32.8,60,2.058666666666667,2.5106666666666664
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,2.0925,282.4,209.91,292.0,60,37.65333333333333,27.988
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,3.78,176.5,227.41,82.4,60,23.533333333333335,30.32133333333333
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.001203,0.0,0.0,60,0.00016040000000000002,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,1.095,18.70414,20.50368,0.0,60,2.493885333333333,2.733824
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,3.825,15.440000000000001,18.83,32.8,60,2.058666666666667,2.5106666666666664
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,2.3600000000000003,283.5,211.06,292.0,60,37.8,28.141333333333332
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,3.8449999999999998,176.5,227.42,82.4,60,23.533333333333335,30.322666666666667
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.002163,0.0,0.0,60,0.0002884,0.0
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,4,chaincode,2,1.11,18.604290000000002,20.40364,0.0,60,2.4805720000000004,2.7204853333333334
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,4,couchdb,2,3.115,15.45,18.83,32.6,60,2.06,2.5106666666666664
SmartBFT,100,100,4,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,2.3375,287.7,215.1,292.0,60,38.36,28.68
