scenario,rep,scope,phase,mode,consensus,batch,tps,k_fault,fault_family,fault_nodes,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_sec,total_tx,fail_rate
SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,5,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,0,highimpact-nested,,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,4.5,0.47,2.74,96.6,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k0_unsplit_highimpact-nested,2.74,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,1,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,50.71,0.45,31.84,74.5,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,31.84,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,1,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6004,0,100.0,32.39,0.34,19.42,87.9,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,19.42,6004,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,2,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,51.4,0.47,36.07,67.2,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,36.07,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,2,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,34.78,0.35,20.06,87.7,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,20.06,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,3,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,41.13,0.56,25.25,81.8,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,25.25,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,3,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,4025,1980,100.1,60.03,0.41,39.46,63.2,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,39.46,6005,0.32972522897585343
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,4,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,33.76,0.54,21.93,88.6,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,21.93,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,4,RETRIEVE,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,28.04,0.4,17.14,93.6,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,17.14,6005,0.0
SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,5,SUBMIT,UNSPLIT,unsplit,SmartBFT,100,100,1,highimpact-nested,orderer.example.com,submitEvidence,submitEvidence,6005,0,100.1,40.42,0.72,25.26,81.1,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested_summary_metrics.csv,SmartBFT_b100_tps100_k1_unsplit_highimpact-nested,25.26,6005,0.0
