scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s,succ,fail,throughput_tps,orderer_cpu_avg_per_tps,orderer_cpu_cluster_per_tps,orderer_mb_total_sum,orderer_mb_total_per_tx,orderer_mb_in_per_tx,orderer_mb_out_per_tx,orderer_bw_total_mbps,orderer_in_out_ratio
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,0.8175,1.55,180.0,190.0,267.3,322.5,448.0,0.0,62.14630779848171,34.40912382009995,41.514936146585235,7.208795113825653,9005,0,144.9,0.005641821946169772,0.022567287784679087,589.8,0.06549694614103276,0.0296835091615769,0.03581343697945586,75.92405996668518,0.8288372093023256
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.8275,1.38,176.5,184.0,267.5,322.7,448.0,0.0,62.14630779848171,34.43486951693504,41.54068184342032,7.208795113825653,9005,0,144.9,0.005710835058661145,0.02284334023464458,590.2,0.06554136590782898,0.029705719044975015,0.03583564686285397,75.97555136035535,0.8289432909823365
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,0.845,1.61,181.25,192.0,266.7,321.9,448.0,0.0,62.18922651933701,34.30819322598556,41.409101610216545,7.203820099944476,9005,0,144.8,0.005835635359116021,0.023342541436464085,588.5999999999999,0.06536368684064407,0.029616879511382564,0.03574680732926152,75.71729483620211,0.8285181733457595
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,0.7675,1.52,178.25,191.0,267.1,322.4,448.0,0.0,62.14630779848171,34.383378123264855,41.502063298167684,7.208795113825653,9005,0,144.9,0.005296756383712905,0.02118702553485162,589.5,0.06546363131593559,0.02966129927817879,0.0358023320377568,75.88544142143255,0.8284739454094293
Raft_b100_tps150,Raft,100,150,retrieveEvidenceAndLog,RETRIEVE,5,orderer,4,0.815,1.48,178.25,188.0,266.9,322.2,448.0,0.0,62.14630779848171,34.35763242642976,41.476317601332596,7.208795113825653,9005,0,144.9,0.0056245686680469285,0.022498274672187714,589.0999999999999,0.06541921154913935,0.029639089394780674,0.03578012215435869,75.83395002776236,0.8283674736188702
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,1,orderer,4,0.8425,1.52,144.0,182.0,336.6,406.4,572.0,0.0,62.14630779848171,43.330007773459194,52.315255968906165,9.204086618545253,9005,0,144.9,0.005814354727398206,0.023257418909592823,743.0,0.08250971682398667,0.037379233759022766,0.04513048306496391,95.64526374236536,0.8282480314960631
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,2,orderer,4,0.955,1.63,146.0,190.0,337.3,406.4,572.0,0.0,62.31833910034602,43.30025541365908,52.170838423098274,9.178678511937813,9005,0,144.5,0.006608996539792388,0.02643598615916955,743.7,0.08258745141588007,0.03745696835091616,0.04513048306496391,95.47109383675735,0.829970472440945
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,3,orderer,4,0.8524999999999999,1.87,145.5,188.0,336.6,406.6,572.0,0.0,62.66527487821852,42.97116712937257,51.90753581343698,9.127862298722931,9005,0,143.7,0.00593249826026444,0.02372999304105776,743.2,0.0825319267073848,0.037379233759022766,0.04515269294836202,94.87870294280955,0.8278406296114117
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,4,orderer,4,0.8350000000000001,1.6,143.75,183.0,336.7,406.7,572.0,0.0,62.225293711126476,43.28786317192358,52.28741892492225,9.192403376277209,9004,0,144.7,0.0057705597788528,0.0230822391154112,743.4,0.08256330519768991,0.03739449133718347,0.04516881386050644,95.57528209684583,0.8278829604130808
Raft_b100_tps150,Raft,100,150,submitEvidence,SUBMIT,5,orderer,4,0.89,1.48,143.75,183.0,336.6,406.6,572.0,0.0,62.27524204702628,43.24029761243754,52.232635202665186,9.185030538589672,9005,0,144.6,0.006154910096818811,0.024619640387275245,743.2,0.0825319267073848,0.037379233759022766,0.04515269294836202,95.47293281510272,0.8278406296114118
