scenario,consensus,batch,tps,round_label,phase,rep,role,role_count,cpu_avg_mean,cpu_max_peak,mem_avg_mb_mean,mem_max_mb_peak,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,disk_read_b_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps,disk_write_mb_per_s
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,1,chaincode,2,2.4,8.59,81.5,84.2,33.80489,39.60483,0.0,0.0,62.591240875912405,4.320718302040817,5.062028417492711,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,1,couchdb,2,8.030000000000001,13.27,58.25,60.9,31.6,40.099999999999994,86.0,0.0,62.591240875912405,4.038903790087464,5.125317784256559,1.37399416909621
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,1,orderer,4,1.05,2.05,180.25,195.0,354.0,427.7,596.0,0.0,62.591240875912405,45.245947521865894,54.66579591836735,9.522099125364432
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,1,peer,2,5.775,12.13,276.5,331.0,341.0,220.7,163.2,0.0,62.591240875912405,43.584373177842565,28.208419825072887,2.607393586005831
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,2,ca,3,0.0,0.0,9.206666666666665,10.1,0.00072,0.0,0.0,0.0,63.878529568460316,9.017114261884904e-05,0.0,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,2,chaincode,2,2.385,8.74,81.80000000000001,84.4,33.30488,39.40471,0.0,0.0,63.878529568460316,4.171026506088406,4.934955173978315,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,2,couchdb,2,8.805,14.25,58.65,64.2,31.6,40.3,86.6,0.0,63.878529568460316,3.957511259382819,5.0470792326939105,1.3556980817347788
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,2,orderer,4,0.9875,2.16,181.0,195.0,354.1,427.4,596.0,0.0,63.878529568460316,44.346668890742286,53.52659216013343,9.33020850708924
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,2,peer,2,5.76,11.73,290.5,420.0,339.9,219.6,163.0,0.0,63.878529568460316,42.56829357798164,27.502198498748953,2.551718098415346
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,3,ca,3,0.0,0.01,9.066666666666666,10.4,0.00108,0.0,0.0,0.0,64.33547695605574,0.00013429604331528528,0.0,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,3,chaincode,2,2.46,7.84,81.80000000000001,83.7,33.305249999999994,39.50489,0.0,0.0,64.33547695605574,4.1414474968763,4.912361498708871,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,3,couchdb,2,8.72,15.08,59.650000000000006,66.6,31.6,40.2,86.8,0.0,64.33547695605574,3.9294027488546437,4.99879716784673,1.3491778425655974
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,3,orderer,4,1.005,2.06,183.0,197.0,354.0,427.4,596.0,0.0,64.33547695605574,44.019258642232394,53.1464156601416,9.263940024989587
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,3,peer,2,5.96,12.41,289.5,410.0,340.1,219.7,163.2,0.0,64.33547695605574,42.290818825489374,27.319296959600162,2.536703040399833
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,4,ca,3,0.0,0.0,9.136666666666668,9.8,0.00072,0.0,0.0,0.0,67.50845546786923,8.532264529058116e-05,0.0,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,4,chaincode,2,2.325,8.16,81.2,83.3,33.305499999999995,39.50516,0.0,0.0,67.50845546786923,3.946824114896459,4.681506602538409,0.0
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,4,couchdb,2,8.585,12.44,57.4,64.9,31.6,40.1,86.6,0.0,67.50845546786923,3.7447160988643953,4.7519973279893115,1.2828022712090847
Raft_b100_tps200,Raft,100,200,retrieveEvidenceAndLog,RETRIEVE,4,orderer,4,1.0474999999999999,2.0,180.0,205.0,353.4,426.5,596.0,0.0,67.50845546786923,41.87919839679358,50.54181696726786,8.828523714094857
