consensus,batch,tps,k_fault,fault_family,round_label,phase,rep,role,role_count,cpu_avg_mean,traffic_in_mb_sum,traffic_out_mb_sum,disk_write_mb_sum,tx_duration_s,traffic_in_mbps,traffic_out_mbps
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,1,peer,2,18.831724,227.2,150.5,107.8,60,30.293333333333333,20.066666666666666
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,ca,3,0.004137666666666667,0.0034000000000000002,0.0,0.0,60,0.00045333333333333337,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,chaincode,2,7.527586,24.784,26.8835,0.0,60,3.304533333333333,3.5844666666666667
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,couchdb,2,19.667931000000003,20.5,25.21,43.8,60,2.7333333333333334,3.3613333333333335
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,orderer,10,1.6408274999999999,572.4,525.3000000000001,1056.0,60,76.32,70.04
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,2,peer,2,17.5425865,227.2,150.5,107.8,60,30.293333333333333,20.066666666666666
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,ca,3,0.002184,0.0040999999999999995,0.0,0.0,60,0.0005466666666666665,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,chaincode,2,7.355,24.648,26.8467,0.0,60,3.2864,3.57956
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,couchdb,2,19.0981035,20.4,25.22,44.0,60,2.7199999999999998,3.3626666666666667
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,orderer,10,1.6293102999999998,574.1,524.95,1056.0,60,76.54666666666667,69.99333333333334
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,3,peer,2,18.026207,227.0,149.3,107.6,60,30.266666666666666,19.90666666666667
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,ca,3,0.0018886666666666667,0.0016,0.0,0.0,60,0.00021333333333333333,0.0
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,chaincode,2,7.5778335,24.749,26.858,0.0,60,3.2998666666666665,3.5810666666666666
Raft,100,100,2,highimpact-nested,retrieveEvidenceAndLog,UNSPLIT,4,couchdb,2,25.076999999999998,20.5,25.22,43.8,60,2.7333333333333334,3.3626666666666667
