scenario,rep,phase,consensus,batch,tps,round_label,name,succ,fail,send_rate_tps,max_latency_s,min_latency_s,avg_latency_s,throughput_tps,SourceFile,SourceFolder,avg_latency_ms
Raft_b100_tps150,5,RETRIEVE,Raft,100,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.16,0.26,0.66,144.9,Raft_b100_tps150_summary_metrics.csv,Raft_b100_tps150,660.0
Raft_b100_tps200,1,SUBMIT,Raft,100,200,submitEvidence,submitEvidence,12005,0,200.1,6.38,0.29,2.25,191.5,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,2250.0
Raft_b100_tps200,2,SUBMIT,Raft,100,200,submitEvidence,submitEvidence,12005,0,200.0,16.82,0.3,7.11,181.6,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,7110.0
Raft_b100_tps200,3,SUBMIT,Raft,100,200,submitEvidence,submitEvidence,12005,0,200.1,14.14,0.33,4.63,183.6,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,4630.0
Raft_b100_tps200,4,SUBMIT,Raft,100,200,submitEvidence,submitEvidence,11974,0,199.4,20.18,0.41,9.1,174.9,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,9100.0
Raft_b100_tps200,5,SUBMIT,Raft,100,200,submitEvidence,submitEvidence,11994,0,199.8,19.43,0.41,8.43,175.5,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,8430.0
Raft_b100_tps200,1,RETRIEVE,Raft,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12005,0,200.1,8.42,0.26,2.73,191.8,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,2730.0
Raft_b100_tps200,2,RETRIEVE,Raft,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11990,0,199.7,13.57,0.25,5.57,187.7,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,5570.0
Raft_b100_tps200,3,RETRIEVE,Raft,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12005,0,200.1,14.45,0.23,5.01,186.6,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,5010.0
Raft_b100_tps200,4,RETRIEVE,Raft,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,11976,0,199.6,19.04,0.29,7.97,177.4,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,7970.0
Raft_b100_tps200,5,RETRIEVE,Raft,100,200,retrieveEvidenceAndLog,retrieveEvidenceAndLog,12005,0,200.1,19.3,0.36,8.35,180.7,Raft_b100_tps200_summary_metrics.csv,Raft_b100_tps200,8350.0
Raft_b300_tps50,1,SUBMIT,Raft,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.35,0.27,1.33,49.5,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1330.0
Raft_b300_tps50,2,SUBMIT,Raft,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.39,0.29,1.34,49.4,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1340.0
Raft_b300_tps50,3,SUBMIT,Raft,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.35,0.28,1.33,49.3,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1330.0
Raft_b300_tps50,4,SUBMIT,Raft,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.59,0.45,1.51,48.8,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1510.0
Raft_b300_tps50,5,SUBMIT,Raft,300,50,submitEvidence,submitEvidence,3005,0,50.1,2.33,0.25,1.3,49.6,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1300.0
Raft_b300_tps50,1,RETRIEVE,Raft,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.44,0.22,1.29,49.3,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1290.0
Raft_b300_tps50,2,RETRIEVE,Raft,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.43,0.23,1.28,49.4,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1280.0
Raft_b300_tps50,3,RETRIEVE,Raft,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.44,0.21,1.29,49.0,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1290.0
Raft_b300_tps50,4,RETRIEVE,Raft,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.4,0.21,1.28,48.7,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1280.0
Raft_b300_tps50,5,RETRIEVE,Raft,300,50,retrieveEvidenceAndLog,retrieveEvidenceAndLog,3005,0,50.1,2.48,0.21,1.28,48.9,Raft_b300_tps50_summary_metrics.csv,Raft_b300_tps50,1280.0
Raft_b300_tps100,1,SUBMIT,Raft,300,100,submitEvidence,submitEvidence,6005,0,100.1,2.95,0.48,1.76,98.2,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1760.0
Raft_b300_tps100,2,SUBMIT,Raft,300,100,submitEvidence,submitEvidence,6005,0,100.1,2.54,0.44,1.49,98.1,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1490.0
Raft_b300_tps100,3,SUBMIT,Raft,300,100,submitEvidence,submitEvidence,6005,0,100.1,2.6,0.47,1.51,98.1,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1510.0
Raft_b300_tps100,4,SUBMIT,Raft,300,100,submitEvidence,submitEvidence,6005,0,100.1,2.98,0.55,1.81,98.1,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1810.0
Raft_b300_tps100,5,SUBMIT,Raft,300,100,submitEvidence,submitEvidence,6006,0,100.0,2.55,0.46,1.5,98.3,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1500.0
Raft_b300_tps100,1,RETRIEVE,Raft,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.44,0.36,1.41,98.0,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1410.0
Raft_b300_tps100,2,RETRIEVE,Raft,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.54,0.36,1.42,97.9,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1420.0
Raft_b300_tps100,3,RETRIEVE,Raft,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.48,0.35,1.41,97.6,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1410.0
Raft_b300_tps100,4,RETRIEVE,Raft,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.6,0.44,1.53,98.0,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1530.0
Raft_b300_tps100,5,RETRIEVE,Raft,300,100,retrieveEvidenceAndLog,retrieveEvidenceAndLog,6005,0,100.1,2.5,0.36,1.42,98.1,Raft_b300_tps100_summary_metrics.csv,Raft_b300_tps100,1420.0
Raft_b300_tps150,1,SUBMIT,Raft,300,150,submitEvidence,submitEvidence,9006,0,150.0,3.13,0.66,1.77,145.0,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,1770.0
Raft_b300_tps150,2,SUBMIT,Raft,300,150,submitEvidence,submitEvidence,9007,0,150.0,3.17,0.94,2.03,144.9,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,2029.9999999999998
Raft_b300_tps150,3,SUBMIT,Raft,300,150,submitEvidence,submitEvidence,9005,0,150.0,3.85,0.82,2.34,146.7,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,2340.0
Raft_b300_tps150,4,SUBMIT,Raft,300,150,submitEvidence,submitEvidence,9005,0,150.1,3.38,0.95,2.05,144.8,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,2050.0
Raft_b300_tps150,5,SUBMIT,Raft,300,150,submitEvidence,submitEvidence,9005,0,150.1,3.23,0.92,2.06,144.9,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,2060.0
Raft_b300_tps150,1,RETRIEVE,Raft,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.68,0.54,1.6,144.9,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,1600.0
Raft_b300_tps150,2,RETRIEVE,Raft,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.88,0.69,1.78,144.8,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,1780.0
Raft_b300_tps150,3,RETRIEVE,Raft,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,3.26,0.69,1.88,144.9,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,1880.0
Raft_b300_tps150,4,RETRIEVE,Raft,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.99,0.7,1.79,144.9,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,1790.0
Raft_b300_tps150,5,RETRIEVE,Raft,300,150,retrieveEvidenceAndLog,retrieveEvidenceAndLog,9005,0,150.1,2.95,0.65,1.78,144.9,Raft_b300_tps150_summary_metrics.csv,Raft_b300_tps150,1780.0
